Title,Runtime,ReleaseDate,Rating,DomesticTotalGross,Director,Budget
Harold and Kumar Escape from Guantanamo Bay,102,2008-04-25 00:00:00,R,38108728,Jon HurwitzHayden Schlossberg,12000000
First Sunday,96,2008-01-11 00:00:00,PG-13,37931869,David E. Talbert,
The Secret Life of Bees,110,2008-10-17 00:00:00,PG-13,37770162,Gina Prince-Bythewood,11000000
Tyler Perry's The Family That Preys,111,2008-09-12 00:00:00,PG-13,37105289,Tyler Perry,
Death Race,89,2008-08-22 00:00:00,R,36316032,Paul W.S. Anderson,45000000
Changeling,140,2008-10-24 00:00:00,R,35739802,Clint Eastwood,55000000
Star Wars: The Clone Wars,98,2008-08-15 00:00:00,PG,35161554,,
The Reader,122,2008-12-10 00:00:00,R,34194407,Stephen Daldry,32000000
Semi-Pro,90,2008-02-29 00:00:00,R,33479698,,
Fireproof,122,2008-09-26 00:00:00,PG,33456317,Alex Kendrick,500000
Doubt,104,2008-12-12 00:00:00,PG-13,33446470,,20000000
Drillbit Taylor,102,2008-03-21 00:00:00,PG-13,32862104,Steven Brill,
"Definitely, Maybe",105,2008-02-14 00:00:00,PG-13,32241649,Adam Brooks,
The Love Guru,88,2008-06-20 00:00:00,PG-13,32235793,,62000000
Milk,128,2008-11-26 00:00:00,R,31841299,Gus Van Sant,20000000
Transporter 3,100,2008-11-26 00:00:00,PG-13,31715062,Olivier Megaton,
Quarantine,89,2008-10-10 00:00:00,R,31691811,John Erick Dowdle,12000000
Nick and Norah's Infinite Playlist,90,2008-10-03 00:00:00,PG-13,31487293,,10000000
Zack and Miri Make a Porno,101,2008-10-31 00:00:00,R,31457946,Kevin Smith,24000000
The Eye,97,2008-02-01 00:00:00,PG-13,31418697,David MoreauXavier Palud,
Leatherheads,114,2008-04-04 00:00:00,PG-13,31373938,George Clooney,58000000
Mirrors,110,2008-08-15 00:00:00,R,30691439,Alexandre Aja,
Space Chimps,81,2008-07-18 00:00:00,G,30105968,Kirk De Micco,37000000
The Bank Job,110,2008-03-07 00:00:00,R,30060660,Roger Donaldson,
Untraceable,101,2008-01-25 00:00:00,R,28687835,Gregory Hoblit,35000000
Defiance,137,2008-12-31 00:00:00,R,28644813,Edward Zwick,32000000
Avatar,160,2009-12-18 00:00:00,PG-13,749766139,James Cameron,
Transformers: Revenge of the Fallen,144,2009-06-24 00:00:00,PG-13,402111870,Michael Bay,200000000
Harry Potter and the Half-Blood Prince,153,2009-07-15 00:00:00,PG,301959197,David Yates,250000000
The Twilight Saga: New Moon,130,2009-11-20 00:00:00,PG-13,296623634,Chris Weitz,50000000
Up,96,2009-05-29 00:00:00,PG,293004164,Pete DocterBob Peterson,175000000
The Hangover,96,2009-06-05 00:00:00,R,277322503,Todd Phillips,35000000
Star Trek,126,2009-05-08 00:00:00,PG-13,257730019,J.J. Abrams,150000000
The Blind Side,126,2009-11-20 00:00:00,PG-13,255959475,John Lee Hancock,29000000
Alvin and the Chipmunks: The Squeakquel,88,2009-12-23 00:00:00,PG,219614612,Betty Thomas,75000000
Sherlock Holmes,134,2009-12-25 00:00:00,PG-13,209028679,Guy Ritchie,90000000
Monsters Vs. Aliens,94,2009-03-27 00:00:00,PG,198351526,Rob LettermanConrad Vernon,175000000
Ice Age: Dawn of the Dinosaurs,87,2009-07-01 00:00:00,PG,196573705,Carlos Saldanha,90000000
X-Men Origins: Wolverine,107,2009-05-01 00:00:00,PG-13,179883157,Gavin Hood,150000000
Night at the Museum: Battle of the Smithsonian,105,2009-05-22 00:00:00,PG,177243721,Shawn Levy,150000000
2012,158,2009-11-13 00:00:00,PG-13,166112167,Roland Emmerich,200000000
The Proposal,108,2009-06-19 00:00:00,PG-13,163958031,Anne Fletcher,40000000
Fast and Furious,99,2009-04-03 00:00:00,PG-13,155064265,Justin Lin,85000000
G.I. Joe: The Rise of Cobra,118,2009-08-07 00:00:00,PG-13,150201498,Stephen Sommers,175000000
Paul Blart: Mall Cop,87,2009-01-16 00:00:00,PG,146336178,Steve Carr,26000000
Taken,93,2009-01-30 00:00:00,PG-13,145000989,Pierre Morel,25000000
A Christmas Carol,96,2009-11-06 00:00:00,PG,137855863,Robert Zemeckis,200000000
Angels & Demons,140,2009-05-15 00:00:00,PG-13,133375846,Ron Howard,150000000
Terminator Salvation,114,2009-05-21 00:00:00,PG-13,125322469,McG,200000000
Cloudy with a Chance of Meatballs,81,2009-09-18 00:00:00,PG,124870275,Phil LordChris Miller (II),100000000
Inglourious Basterds,152,2009-08-21 00:00:00,R,120540719,Quentin Tarantino,70000000
G-Force,90,2009-07-24 00:00:00,PG,119436770,,150000000
District 9,113,2009-08-14 00:00:00,R,115646235,Neill Blomkamp,30000000
It's Complicated,118,2009-12-25 00:00:00,R,112735375,Nancy Meyers,85000000
Couples Retreat,107,2009-10-09 00:00:00,PG-13,109204945,,70000000
Paranormal Activity,99,2009-09-25 00:00:00,R,107918810,Oren Peli,15000
Watchmen,163,2009-03-06 00:00:00,R,107509799,Zack Snyder,130000000
